fips_full,gisjoin,tract_id,location_name,year,population,attainment_broad,source,count,geographic_id,decade,tract_join_id,clean_tract,tract_6,ej_loc_cnt,ej_stories,ej_locatns,ej_spaces,ej_setting
11001001002,G1100010001002,001002,Tract   10.02,1970,total,Bachelor's degree+,1970 Census (C2M),1026,G1100010001002,1970,001002,001002,001002,0,NA,NA,NA,NA
11001001002,G1100010001002,001002,Tract   10.02,1970,total,High school graduate,1970 Census (C2M),693,G1100010001002,1970,001002,001002,001002,0,NA,NA,NA,NA
11001001002,G1100010001002,001002,Tract   10.02,1970,total,Less than high school,1970 Census (C2M),391,G1100010001002,1970,001002,001002,001002,0,NA,NA,NA,NA
11001001002,G1100010001002,001002,Tract   10.02,1970,total,Some college/Associate's,1970 Census (C2M),567,G1100010001002,1970,001002,001002,001002,0,NA,NA,NA,NA
11001001002,G1100010001002,001002,State: 11 County: 001 Tract: 10.02,1980,total,Bachelor's degree+,1980 Census (DHN),765,G1100010001002,1980,001002,001002,001002,0,NA,NA,NA,NA
11001001002,G1100010001002,001002,State: 11 County: 001 Tract: 10.02,1980,total,High school graduate,1980 Census (DHN),353,G1100010001002,1980,001002,001002,001002,0,NA,NA,NA,NA
11001001002,G1100010001002,001002,State: 11 County: 001 Tract: 10.02,1980,total,Less than high school,1980 Census (DHN),199,G1100010001002,1980,001002,001002,001002,0,NA,NA,NA,NA
11001001002,G1100010001002,001002,State: 11 County: 001 Tract: 10.02,1980,total,Some college/Associate's,1980 Census (DHN),314,G1100010001002,1980,001002,001002,001002,0,NA,NA,NA,NA
11001001002,G1100010001002,001002,"Census Tract 10.02, District of Columbia, District of Columbia",2010,total,Bachelor's degree+,ACS 2008-2012 - Total Population 25+ (B15002),1688,G1100010001002,2010,001002,001002,001002,0,NA,NA,NA,NA
11001001002,G1100010001002,001002,"Census Tract 10.02, District of Columbia, District of Columbia",2010,total,High school graduate,ACS 2008-2012 - Total Population 25+ (B15002),117,G1100010001002,2010,001002,001002,001002,0,NA,NA,NA,NA
11001001002,G1100010001002,001002,"Census Tract 10.02, District of Columbia, District of Columbia",2010,total,Less than high school,ACS 2008-2012 - Total Population 25+ (B15002),147,G1100010001002,2010,001002,001002,001002,0,NA,NA,NA,NA
11001001002,G1100010001002,001002,"Census Tract 10.02, District of Columbia, District of Columbia",2010,total,Some college/Associate's,ACS 2008-2012 - Total Population 25+ (B15002),227,G1100010001002,2010,001002,001002,001002,0,NA,NA,NA,NA
11001002801,G1100010002801,002801,"Census Tract 28.01, District of Columbia, District of Columbia",2010,total,Bachelor's degree+,ACS 2008-2012 - Total Population 25+ (B15002),1204,G1100010002801,2010,002801,002801,002801,0,NA,NA,NA,NA
11001002801,G1100010002801,002801,"Census Tract 28.01, District of Columbia, District of Columbia",2010,total,High school graduate,ACS 2008-2012 - Total Population 25+ (B15002),448,G1100010002801,2010,002801,002801,002801,0,NA,NA,NA,NA
11001002801,G1100010002801,002801,"Census Tract 28.01, District of Columbia, District of Columbia",2010,total,Less than high school,ACS 2008-2012 - Total Population 25+ (B15002),544,G1100010002801,2010,002801,002801,002801,0,NA,NA,NA,NA
11001002801,G1100010002801,002801,"Census Tract 28.01, District of Columbia, District of Columbia",2010,total,Some college/Associate's,ACS 2008-2012 - Total Population 25+ (B15002),557,G1100010002801,2010,002801,002801,002801,0,NA,NA,NA,NA
11001003100,G1100010003100,003100,"Census Tract 31, District of Columbia, District of Columbia",2010,total,Bachelor's degree+,ACS 2008-2012 - Total Population 25+ (B15002),832,G1100010003100,2010,003100,003100,003100,0,NA,NA,NA,NA
11001003100,G1100010003100,003100,"Census Tract 31, District of Columbia, District of Columbia",2010,total,High school graduate,ACS 2008-2012 - Total Population 25+ (B15002),379,G1100010003100,2010,003100,003100,003100,0,NA,NA,NA,NA
11001003100,G1100010003100,003100,"Census Tract 31, District of Columbia, District of Columbia",2010,total,Less than high school,ACS 2008-2012 - Total Population 25+ (B15002),553,G1100010003100,2010,003100,003100,003100,0,NA,NA,NA,NA
11001003100,G1100010003100,003100,"Census Tract 31, District of Columbia, District of Columbia",2010,total,Some college/Associate's,ACS 2008-2012 - Total Population 25+ (B15002),304,G1100010003100,2010,003100,003100,003100,0,NA,NA,NA,NA
11001004001,G1100010004001,004001,"Census Tract 40.01, District of Columbia, District of Columbia",2010,total,Bachelor's degree+,ACS 2008-2012 - Total Population 25+ (B15002),2740,G1100010004001,2010,004001,004001,004001,0,NA,NA,NA,NA
11001004001,G1100010004001,004001,"Census Tract 40.01, District of Columbia, District of Columbia",2010,total,High school graduate,ACS 2008-2012 - Total Population 25+ (B15002),48,G1100010004001,2010,004001,004001,004001,0,NA,NA,NA,NA
11001004001,G1100010004001,004001,"Census Tract 40.01, District of Columbia, District of Columbia",2010,total,Less than high school,ACS 2008-2012 - Total Population 25+ (B15002),43,G1100010004001,2010,004001,004001,004001,0,NA,NA,NA,NA
11001004001,G1100010004001,004001,"Census Tract 40.01, District of Columbia, District of Columbia",2010,total,Some college/Associate's,ACS 2008-2012 - Total Population 25+ (B15002),180,G1100010004001,2010,004001,004001,004001,0,NA,NA,NA,NA
11001010500,G1100010010500,010500,"Census Tract 105, District of Columbia, District of Columbia",2010,total,Bachelor's degree+,ACS 2008-2012 - Total Population 25+ (B15002),1968,G1100010010500,2010,010500,010500,010500,0,NA,NA,NA,NA
11001010500,G1100010010500,010500,"Census Tract 105, District of Columbia, District of Columbia",2010,total,High school graduate,ACS 2008-2012 - Total Population 25+ (B15002),708,G1100010010500,2010,010500,010500,010500,0,NA,NA,NA,NA
11001010500,G1100010010500,010500,"Census Tract 105, District of Columbia, District of Columbia",2010,total,Less than high school,ACS 2008-2012 - Total Population 25+ (B15002),208,G1100010010500,2010,010500,010500,010500,0,NA,NA,NA,NA
11001010500,G1100010010500,010500,"Census Tract 105, District of Columbia, District of Columbia",2010,total,Some college/Associate's,ACS 2008-2012 - Total Population 25+ (B15002),526,G1100010010500,2010,010500,010500,010500,0,NA,NA,NA,NA
11001004600,G1100010004600,004600,"Census Tract 46, District of Columbia, District of Columbia",2010,total,Bachelor's degree+,ACS 2008-2012 - Total Population 25+ (B15002),992,G1100010004600,2010,004600,004600,004600,6,The First Day | The Store,Narrator's House | Miss Mary and Miss Blondelle's House | Dunbar High School | Narrator's Apartment | New York Avenue NW | New York Avenue & 1st Street NW,Setting | Marker | Route,House | School | Apartment | Street
11001004600,G1100010004600,004600,"Census Tract 46, District of Columbia, District of Columbia",2010,total,High school graduate,ACS 2008-2012 - Total Population 25+ (B15002),537,G1100010004600,2010,004600,004600,004600,6,The First Day | The Store,Narrator's House | Miss Mary and Miss Blondelle's House | Dunbar High School | Narrator's Apartment | New York Avenue NW | New York Avenue & 1st Street NW,Setting | Marker | Route,House | School | Apartment | Street
11001004600,G1100010004600,004600,"Census Tract 46, District of Columbia, District of Columbia",2010,total,Less than high school,ACS 2008-2012 - Total Population 25+ (B15002),223,G1100010004600,2010,004600,004600,004600,6,The First Day | The Store,Narrator's House | Miss Mary and Miss Blondelle's House | Dunbar High School | Narrator's Apartment | New York Avenue NW | New York Avenue & 1st Street NW,Setting | Marker | Route,House | School | Apartment | Street
11001004600,G1100010004600,004600,"Census Tract 46, District of Columbia, District of Columbia",2010,total,Some college/Associate's,ACS 2008-2012 - Total Population 25+ (B15002),365,G1100010004600,2010,004600,004600,004600,6,The First Day | The Store,Narrator's House | Miss Mary and Miss Blondelle's House | Dunbar High School | Narrator's Apartment | New York Avenue NW | New York Avenue & 1st Street NW,Setting | Marker | Route,House | School | Apartment | Street
11001008803,G1100010008803,008803,State: 11 County: 001 Tract: 88.03,1980,total,Bachelor's degree+,1980 Census (DHN),77,G1100010008803,1980,008803,008803,008803,1,The Store,Kentucky's Apartment,Setting,Apartment
11001008803,G1100010008803,008803,State: 11 County: 001 Tract: 88.03,1980,total,High school graduate,1980 Census (DHN),341,G1100010008803,1980,008803,008803,008803,1,The Store,Kentucky's Apartment,Setting,Apartment
11001008803,G1100010008803,008803,State: 11 County: 001 Tract: 88.03,1980,total,Less than high school,1980 Census (DHN),518,G1100010008803,1980,008803,008803,008803,1,The Store,Kentucky's Apartment,Setting,Apartment
11001008803,G1100010008803,008803,State: 11 County: 001 Tract: 88.03,1980,total,Some college/Associate's,1980 Census (DHN),174,G1100010008803,1980,008803,008803,008803,1,The Store,Kentucky's Apartment,Setting,Apartment
11001008803,G1100010008803,008803,"Census Tract 88.03, District of Columbia, District of Columbia",2010,total,Bachelor's degree+,ACS 2008-2012 - Total Population 25+ (B15002),162,G1100010008803,2010,008803,008803,008803,1,The Store,Kentucky's Apartment,Setting,Apartment
11001008803,G1100010008803,008803,"Census Tract 88.03, District of Columbia, District of Columbia",2010,total,High school graduate,ACS 2008-2012 - Total Population 25+ (B15002),369,G1100010008803,2010,008803,008803,008803,1,The Store,Kentucky's Apartment,Setting,Apartment
11001008803,G1100010008803,008803,"Census Tract 88.03, District of Columbia, District of Columbia",2010,total,Less than high school,ACS 2008-2012 - Total Population 25+ (B15002),269,G1100010008803,2010,008803,008803,008803,1,The Store,Kentucky's Apartment,Setting,Apartment
11001008803,G1100010008803,008803,"Census Tract 88.03, District of Columbia, District of Columbia",2010,total,Some college/Associate's,ACS 2008-2012 - Total Population 25+ (B15002),261,G1100010008803,2010,008803,008803,008803,1,The Store,Kentucky's Apartment,Setting,Apartment
11001009507,G1100010009507,009507,State: 11 County: 001 Tract: 95.07,1980,total,Bachelor's degree+,1980 Census (DHN),173,G1100010009507,1980,009507,009507,009507,0,NA,NA,NA,NA
11001009507,G1100010009507,009507,State: 11 County: 001 Tract: 95.07,1980,total,High school graduate,1980 Census (DHN),371,G1100010009507,1980,009507,009507,009507,0,NA,NA,NA,NA
11001009507,G1100010009507,009507,State: 11 County: 001 Tract: 95.07,1980,total,Less than high school,1980 Census (DHN),384,G1100010009507,1980,009507,009507,009507,0,NA,NA,NA,NA
11001009507,G1100010009507,009507,State: 11 County: 001 Tract: 95.07,1980,total,Some college/Associate's,1980 Census (DHN),270,G1100010009507,1980,009507,009507,009507,0,NA,NA,NA,NA
11001009507,G1100010009507,009507,"Census Tract 95.07, District of Columbia, District of Columbia",2010,total,Bachelor's degree+,ACS 2008-2012 - Total Population 25+ (B15002),335,G1100010009507,2010,009507,009507,009507,0,NA,NA,NA,NA
11001009507,G1100010009507,009507,"Census Tract 95.07, District of Columbia, District of Columbia",2010,total,High school graduate,ACS 2008-2012 - Total Population 25+ (B15002),316,G1100010009507,2010,009507,009507,009507,0,NA,NA,NA,NA
11001009507,G1100010009507,009507,"Census Tract 95.07, District of Columbia, District of Columbia",2010,total,Less than high school,ACS 2008-2012 - Total Population 25+ (B15002),129,G1100010009507,2010,009507,009507,009507,0,NA,NA,NA,NA
11001009507,G1100010009507,009507,"Census Tract 95.07, District of Columbia, District of Columbia",2010,total,Some college/Associate's,ACS 2008-2012 - Total Population 25+ (B15002),266,G1100010009507,2010,009507,009507,009507,0,NA,NA,NA,NA
11001009509,G1100010009509,009509,"Census Tract 95.09, District of Columbia, District of Columbia",2010,total,Bachelor's degree+,ACS 2008-2012 - Total Population 25+ (B15002),684,G1100010009509,2010,009509,009509,009509,0,NA,NA,NA,NA
11001009509,G1100010009509,009509,"Census Tract 95.09, District of Columbia, District of Columbia",2010,total,High school graduate,ACS 2008-2012 - Total Population 25+ (B15002),639,G1100010009509,2010,009509,009509,009509,0,NA,NA,NA,NA
11001009509,G1100010009509,009509,"Census Tract 95.09, District of Columbia, District of Columbia",2010,total,Less than high school,ACS 2008-2012 - Total Population 25+ (B15002),307,G1100010009509,2010,009509,009509,009509,0,NA,NA,NA,NA
11001009509,G1100010009509,009509,"Census Tract 95.09, District of Columbia, District of Columbia",2010,total,Some college/Associate's,ACS 2008-2012 - Total Population 25+ (B15002),813,G1100010009509,2010,009509,009509,009509,0,NA,NA,NA,NA
11001008100,G1100010008100,008100,"Census Tract 81, District of Columbia, District of Columbia",2010,total,Bachelor's degree+,ACS 2008-2012 - Total Population 25+ (B15002),1951,G1100010008100,2010,008100,008100,008100,3,The Night Rhonda Ferguson Was Killed | Gospel,East Capitol Street NE | Party House | Massachusetts Avenue NW,Route | Setting,Street | House
11001008100,G1100010008100,008100,"Census Tract 81, District of Columbia, District of Columbia",2010,total,High school graduate,ACS 2008-2012 - Total Population 25+ (B15002),217,G1100010008100,2010,008100,008100,008100,3,The Night Rhonda Ferguson Was Killed | Gospel,East Capitol Street NE | Party House | Massachusetts Avenue NW,Route | Setting,Street | House
11001008100,G1100010008100,008100,"Census Tract 81, District of Columbia, District of Columbia",2010,total,Less than high school,ACS 2008-2012 - Total Population 25+ (B15002),86,G1100010008100,2010,008100,008100,008100,3,The Night Rhonda Ferguson Was Killed | Gospel,East Capitol Street NE | Party House | Massachusetts Avenue NW,Route | Setting,Street | House
11001008100,G1100010008100,008100,"Census Tract 81, District of Columbia, District of Columbia",2010,total,Some college/Associate's,ACS 2008-2012 - Total Population 25+ (B15002),308,G1100010008100,2010,008100,008100,008100,3,The Night Rhonda Ferguson Was Killed | Gospel,East Capitol Street NE | Party House | Massachusetts Avenue NW,Route | Setting,Street | House
11001000502,G1100010000502,000502,State: 11 County: 001 Tract: 5.02,1980,total,Bachelor's degree+,1980 Census (DHN),1928,G1100010000502,1980,000502,000502,000502,0,NA,NA,NA,NA
11001000502,G1100010000502,000502,State: 11 County: 001 Tract: 5.02,1980,total,High school graduate,1980 Census (DHN),405,G1100010000502,1980,000502,000502,000502,0,NA,NA,NA,NA
11001000502,G1100010000502,000502,State: 11 County: 001 Tract: 5.02,1980,total,Less than high school,1980 Census (DHN),227,G1100010000502,1980,000502,000502,000502,0,NA,NA,NA,NA
11001000502,G1100010000502,000502,State: 11 County: 001 Tract: 5.02,1980,total,Some college/Associate's,1980 Census (DHN),330,G1100010000502,1980,000502,000502,000502,0,NA,NA,NA,NA
11001000502,G1100010000502,000502,"Census Tract 5.02, District of Columbia, District of Columbia",2010,total,Bachelor's degree+,ACS 2008-2012 - Total Population 25+ (B15002),2110,G1100010000502,2010,000502,000502,000502,0,NA,NA,NA,NA
11001000502,G1100010000502,000502,"Census Tract 5.02, District of Columbia, District of Columbia",2010,total,High school graduate,ACS 2008-2012 - Total Population 25+ (B15002),164,G1100010000502,2010,000502,000502,000502,0,NA,NA,NA,NA
