fips_full,census_tract,total_crime,violent_crime,property_crime,year,tract_id,geography,source,data_type,tract_join_id,clean_tract,tract_6,ej_loc_cnt,ej_stories,ej_locatns,ej_spaces,ej_setting
11001001002,001002,62,2,60,2010,001002,tract,DC Open Data Crime Incidents,crime_counts_by_tract,001002,001002,001002,0,NA,NA,NA,NA
11001001002,001002,80,NA,NA,2020,001002,tract,NA,NA,001002,001002,001002,0,NA,NA,NA,NA
11001002801,002801,137,50,87,2010,002801,tract,DC Open Data Crime Incidents,crime_counts_by_tract,002801,002801,002801,0,NA,NA,NA,NA
11001002801,002801,90,NA,NA,2020,002801,tract,NA,NA,002801,002801,002801,0,NA,NA,NA,NA
11001003100,003100,265,78,187,2010,003100,tract,DC Open Data Crime Incidents,crime_counts_by_tract,003100,003100,003100,0,NA,NA,NA,NA
11001003100,003100,221,NA,NA,2020,003100,tract,NA,NA,003100,003100,003100,0,NA,NA,NA,NA
11001004001,004001,128,14,114,2010,004001,tract,DC Open Data Crime Incidents,crime_counts_by_tract,004001,004001,004001,0,NA,NA,NA,NA
11001004001,004001,87,NA,NA,2020,004001,tract,NA,NA,004001,004001,004001,0,NA,NA,NA,NA
11001010500,010500,83,21,62,2010,010500,tract,DC Open Data Crime Incidents,crime_counts_by_tract,010500,010500,010500,0,NA,NA,NA,NA
11001010500,010500,99,NA,NA,2020,010500,tract,NA,NA,010500,010500,010500,0,NA,NA,NA,NA
11001004600,004600,210,72,138,2010,004600,tract,DC Open Data Crime Incidents,crime_counts_by_tract,004600,004600,004600,6,The First Day | The Store,Narrator's House | Miss Mary and Miss Blondelle's House | Dunbar High School | Narrator's Apartment | New York Avenue NW | New York Avenue & 1st Street NW,Setting | Marker | Route,House | School | Apartment | Street
11001004600,004600,182,NA,NA,2020,004600,tract,NA,NA,004600,004600,004600,6,The First Day | The Store,Narrator's House | Miss Mary and Miss Blondelle's House | Dunbar High School | Narrator's Apartment | New York Avenue NW | New York Avenue & 1st Street NW,Setting | Marker | Route,House | School | Apartment | Street
11001008803,008803,264,68,196,2010,008803,tract,DC Open Data Crime Incidents,crime_counts_by_tract,008803,008803,008803,1,The Store,Kentucky's Apartment,Setting,Apartment
11001008803,008803,406,NA,NA,2020,008803,tract,NA,NA,008803,008803,008803,1,The Store,Kentucky's Apartment,Setting,Apartment
